Wage_Date,MIP_sector_id,MIP_sector_name,Count_Workers
2012-08-01,6,"Wholesale and retail trade, accommodation and food services",108027
2012-08-01,7,"Transport, communications and information services",52098
2012-08-01,8,Financial intermediation,24955
2012-08-01,9,Real estate and housing services,4718
2012-08-01,10,Business services,77925
2012-08-01,11,Personal services,80112
2012-08-01,12,Public administration,6953
2012-09-01,1,"Agriculture, forestry and fishing",28115
2012-09-01,2,Mining,13377
2012-09-01,3,Manufacturing,60178
2012-09-01,4,"Electricity, gas, water and waste management",5365
2012-09-01,5,Construction,72749
2012-09-01,6,"Wholesale and retail trade, accommodation and food services",106487
2012-09-01,7,"Transport, communications and information services",52576
2012-09-01,8,Financial intermediation,24613
2012-09-01,9,Real estate and housing services,4818
2012-09-01,10,Business services,78450
2012-09-01,11,Personal services,81152
2012-09-01,12,Public administration,7096
2012-10-01,1,"Agriculture, forestry and fishing",30518
2012-10-01,2,Mining,13412
2012-10-01,3,Manufacturing,60776
2012-10-01,4,"Electricity, gas, water and waste management",5340
2012-10-01,5,Construction,73707
2012-10-01,6,"Wholesale and retail trade, accommodation and food services",107001
2012-10-01,7,"Transport, communications and information services",52944
2012-10-01,8,Financial intermediation,25193
2012-10-01,9,Real estate and housing services,4838
2012-10-01,10,Business services,78855
2012-10-01,11,Personal services,80989
2012-10-01,12,Public administration,7129
2012-11-01,1,"Agriculture, forestry and fishing",31977
2012-11-01,2,Mining,10592
2012-11-01,3,Manufacturing,59864
2012-11-01,4,"Electricity, gas, water and waste management",4981
2012-11-01,5,Construction,73105
2012-11-01,6,"Wholesale and retail trade, accommodation and food services",107575
2012-11-01,7,"Transport, communications and information services",51353
2012-11-01,8,Financial intermediation,22287
2012-11-01,9,Real estate and housing services,4643
2012-11-01,10,Business services,75769
2012-11-01,11,Personal services,79874
2012-11-01,12,Public administration,7072
2012-12-01,1,"Agriculture, forestry and fishing",34346
2012-12-01,2,Mining,9777
2012-12-01,3,Manufacturing,59200
2012-12-01,4,"Electricity, gas, water and waste management",4973
2012-12-01,5,Construction,72532
2012-12-01,6,"Wholesale and retail trade, accommodation and food services",107637
2012-12-01,7,"Transport, communications and information services",51703
2012-12-01,8,Financial intermediation,20265
2012-12-01,9,Real estate and housing services,4653
2012-12-01,10,Business services,76652
2012-12-01,11,Personal services,79947
2012-12-01,12,Public administration,7151
2013-01-01,1,"Agriculture, forestry and fishing",34566
2013-01-01,2,Mining,13416
2013-01-01,3,Manufacturing,61232
2013-01-01,4,"Electricity, gas, water and waste management",5461
2013-01-01,5,Construction,72720
2013-01-01,6,"Wholesale and retail trade, accommodation and food services",109110
2013-01-01,7,"Transport, communications and information services",53861
2013-01-01,8,Financial intermediation,23945
2013-01-01,9,Real estate and housing services,4965
2013-01-01,10,Business services,79935
2013-01-01,11,Personal services,79451
2013-01-01,12,Public administration,7079
2013-02-01,1,"Agriculture, forestry and fishing",33700
2013-02-01,2,Mining,13395
2013-02-01,3,Manufacturing,61571
2013-02-01,4,"Electricity, gas, water and waste management",5496
2013-02-01,5,Construction,73343
2013-02-01,6,"Wholesale and retail trade, accommodation and food services",108614
2013-02-01,7,"Transport, communications and information services",54180
2013-02-01,8,Financial intermediation,23907
2013-02-01,9,Real estate and housing services,4924
2013-02-01,10,Business services,80260
2013-02-01,11,Personal services,78438
2013-02-01,12,Public administration,7075
2013-03-01,1,"Agriculture, forestry and fishing",34059
2013-03-01,2,Mining,13484
2013-03-01,3,Manufacturing,63404
2013-03-01,4,"Electricity, gas, water and waste management",5561
2013-03-01,5,Construction,74830
2013-03-01,6,"Wholesale and retail trade, accommodation and food services",113364
2013-03-01,7,"Transport, communications and information services",54801
2013-03-01,8,Financial intermediation,24083
2013-03-01,9,Real estate and housing services,4999
2013-03-01,10,Business services,81003
2013-03-01,11,Personal services,81720
2013-03-01,12,Public administration,7067
2013-04-01,1,"Agriculture, forestry and fishing",32320
2013-04-01,2,Mining,13445
2013-04-01,3,Manufacturing,63410
2013-04-01,4,"Electricity, gas, water and waste management",5524
2013-04-01,5,Construction,75785
2013-04-01,6,"Wholesale and retail trade, accommodation and food services",112620
2013-04-01,7,"Transport, communications and information services",55087
2013-04-01,8,Financial intermediation,24079
2013-04-01,9,Real estate and housing services,5061
2013-04-01,10,Business services,81561
2013-04-01,11,Personal services,82839
2013-04-01,12,Public administration,7409
2013-05-01,1,"Agriculture, forestry and fishing",29201
2013-05-01,2,Mining,13334
2013-05-01,3,Manufacturing,62711
2013-05-01,4,"Electricity, gas, water and waste management",5578
2013-05-01,5,Construction,76032
2013-05-01,6,"Wholesale and retail trade, accommodation and food services",112095
2013-05-01,7,"Transport, communications and information services",55115
2013-05-01,8,Financial intermediation,24115
2013-05-01,9,Real estate and housing services,5040
2013-05-01,10,Business services,81126
2013-05-01,11,Personal services,83746
2013-05-01,12,Public administration,7610
2013-06-01,1,"Agriculture, forestry and fishing",28896
2013-06-01,2,Mining,13235
2013-06-01,3,Manufacturing,62655
2013-06-01,4,"Electricity, gas, water and waste management",5633
2013-06-01,5,Construction,75829
2013-06-01,6,"Wholesale and retail trade, accommodation and food services",112197
2013-06-01,7,"Transport, communications and information services",55099
2013-06-01,8,Financial intermediation,25221
2013-06-01,9,Real estate and housing services,5059
2013-06-01,10,Business services,80823
2013-06-01,11,Personal services,84378
2013-06-01,12,Public administration,7906
2013-07-01,1,"Agriculture, forestry and fishing",29338
2013-07-01,2,Mining,13085
2013-07-01,3,Manufacturing,62190
2013-07-01,4,"Electricity, gas, water and waste management",5612
2013-07-01,5,Construction,75328
2013-07-01,6,"Wholesale and retail trade, accommodation and food services",110092
2013-07-01,7,"Transport, communications and information services",54432
2013-07-01,8,Financial intermediation,24738
2013-07-01,9,Real estate and housing services,4961
2013-07-01,10,Business services,79437
2013-07-01,11,Personal services,82502
2013-07-01,12,Public administration,7635
2013-08-01,1,"Agriculture, forestry and fishing",30120
2013-08-01,2,Mining,13013
2013-08-01,3,Manufacturing,63446
2013-08-01,4,"Electricity, gas, water and waste management",5761
2013-08-01,5,Construction,76844
2013-08-01,6,"Wholesale and retail trade, accommodation and food services",114782
2013-08-01,7,"Transport, communications and information services",55130
2013-08-01,8,Financial intermediation,24928
2013-08-01,9,Real estate and housing services,5060
2013-08-01,10,Business services,80443
2013-08-01,11,Personal services,84344
2013-08-01,12,Public administration,7818
2013-09-01,1,"Agriculture, forestry and fishing",27998
2013-09-01,2,Mining,9438
2013-09-01,3,Manufacturing,60388
2013-09-01,4,"Electricity, gas, water and waste management",5283
2013-09-01,5,Construction,74310
2013-09-01,6,"Wholesale and retail trade, accommodation and food services",110028
2013-09-01,7,"Transport, communications and information services",53485
2013-09-01,8,Financial intermediation,21954
2013-09-01,9,Real estate and housing services,4822
2013-09-01,10,Business services,76962
2013-09-01,11,Personal services,83860
2013-09-01,12,Public administration,7830
2013-10-01,1,"Agriculture, forestry and fishing",29325
2013-10-01,2,Mining,10061
2013-10-01,3,Manufacturing,61078
2013-10-01,4,"Electricity, gas, water and waste management",5306
2013-10-01,5,Construction,75015
2013-10-01,6,"Wholesale and retail trade, accommodation and food services",109912
2013-10-01,7,"Transport, communications and information services",53726
2013-10-01,8,Financial intermediation,22246
2013-10-01,9,Real estate and housing services,4800
2013-10-01,10,Business services,77651
2013-10-01,11,Personal services,83881
2013-10-01,12,Public administration,7892
2013-11-01,1,"Agriculture, forestry and fishing",31234
2013-11-01,2,Mining,10126
2013-11-01,3,Manufacturing,62233
2013-11-01,4,"Electricity, gas, water and waste management",5212
2013-11-01,5,Construction,74741
2013-11-01,6,"Wholesale and retail trade, accommodation and food services",113446
2013-11-01,7,"Transport, communications and information services",54015
2013-11-01,8,Financial intermediation,22192
2013-11-01,9,Real estate and housing services,4811
2013-11-01,10,Business services,77993
2013-11-01,11,Personal services,84343
2013-11-01,12,Public administration,7884
2013-12-01,1,"Agriculture, forestry and fishing",34381
2013-12-01,2,Mining,9496
2013-12-01,3,Manufacturing,61383
2013-12-01,4,"Electricity, gas, water and waste management",5326
2013-12-01,5,Construction,73902
2013-12-01,6,"Wholesale and retail trade, accommodation and food services",112447
2013-12-01,7,"Transport, communications and information services",54041
2013-12-01,8,Financial intermediation,21687
2013-12-01,9,Real estate and housing services,4847
2013-12-01,10,Business services,78291
2013-12-01,11,Personal services,84953
2013-12-01,12,Public administration,8144
2014-01-01,1,"Agriculture, forestry and fishing",33523
2014-01-01,2,Mining,9578
2014-01-01,3,Manufacturing,61258
2014-01-01,4,"Electricity, gas, water and waste management",5447
2014-01-01,5,Construction,71252
2014-01-01,6,"Wholesale and retail trade, accommodation and food services",111144
2014-01-01,7,"Transport, communications and information services",54157
2014-01-01,8,Financial intermediation,22418
2014-01-01,9,Real estate and housing services,4796
2014-01-01,10,Business services,77585
2014-01-01,11,Personal services,83212
2014-01-01,12,Public administration,8002
2014-02-01,1,"Agriculture, forestry and fishing",32930
2014-02-01,2,Mining,10361
2014-02-01,3,Manufacturing,61537
2014-02-01,4,"Electricity, gas, water and waste management",5472
2014-02-01,5,Construction,71615
2014-02-01,6,"Wholesale and retail trade, accommodation and food services",110968
2014-02-01,7,"Transport, communications and information services",54361
2014-02-01,8,Financial intermediation,21955
2014-02-01,9,Real estate and housing services,4760
2014-02-01,10,Business services,77688
2014-02-01,11,Personal services,82599
2014-02-01,12,Public administration,7975
2014-03-01,1,"Agriculture, forestry and fishing",33384
2014-03-01,2,Mining,9928
2014-03-01,3,Manufacturing,63323
2014-03-01,4,"Electricity, gas, water and waste management",5524
2014-03-01,5,Construction,72164
2014-03-01,6,"Wholesale and retail trade, accommodation and food services",114672
2014-03-01,7,"Transport, communications and information services",54614
2014-03-01,8,Financial intermediation,21726
2014-03-01,9,Real estate and housing services,4706
2014-03-01,10,Business services,78639
2014-03-01,11,Personal services,85538
2014-03-01,12,Public administration,7980
2014-04-01,1,"Agriculture, forestry and fishing",31483
2014-04-01,2,Mining,9941
2014-04-01,3,Manufacturing,63074
2014-04-01,4,"Electricity, gas, water and waste management",5555
2014-04-01,5,Construction,72271
2014-04-01,6,"Wholesale and retail trade, accommodation and food services",113605
2014-04-01,7,"Transport, communications and information services",55022
2014-04-01,8,Financial intermediation,22311
2014-04-01,9,Real estate and housing services,4766
2014-04-01,10,Business services,78728
2014-04-01,11,Personal services,87546
2014-04-01,12,Public administration,8405
2014-05-01,1,"Agriculture, forestry and fishing",28896
2014-05-01,2,Mining,10252
2014-05-01,3,Manufacturing,62927
2014-05-01,4,"Electricity, gas, water and waste management",5604
2014-05-01,5,Construction,71689
2014-05-01,6,"Wholesale and retail trade, accommodation and food services",114011
2014-05-01,7,"Transport, communications and information services",55022
2014-05-01,8,Financial intermediation,22352
2014-05-01,9,Real estate and housing services,4741
2014-05-01,10,Business services,79125
2014-05-01,11,Personal services,88328
2014-05-01,12,Public administration,8606
2014-06-01,1,"Agriculture, forestry and fishing",29058
2014-06-01,2,Mining,10172
2014-06-01,3,Manufacturing,62605
2014-06-01,4,"Electricity, gas, water and waste management",5662
2014-06-01,5,Construction,70614
2014-06-01,6,"Wholesale and retail trade, accommodation and food services",113383
2014-06-01,7,"Transport, communications and information services",54844
2014-06-01,8,Financial intermediation,22414
2014-06-01,9,Real estate and housing services,4711
2014-06-01,10,Business services,79199
2014-06-01,11,Personal services,88798
2014-06-01,12,Public administration,8721
2014-07-01,1,"Agriculture, forestry and fishing",34533
2014-07-01,2,Mining,10148
2014-07-01,3,Manufacturing,64864
2014-07-01,4,"Electricity, gas, water and waste management",5754
2014-07-01,5,Construction,72647
2014-07-01,6,"Wholesale and retail trade, accommodation and food services",120727
2014-07-01,7,"Transport, communications and information services",58646
2014-07-01,8,Financial intermediation,22695
2014-07-01,9,Real estate and housing services,4882
2014-07-01,10,Business services,82092
2014-07-01,11,Personal services,92129
2014-07-01,12,Public administration,9512
2014-08-01,1,"Agriculture, forestry and fishing",34479
2014-08-01,2,Mining,10207
2014-08-01,3,Manufacturing,64927
2014-08-01,4,"Electricity, gas, water and waste management",5692
2014-08-01,5,Construction,72580
2014-08-01,6,"Wholesale and retail trade, accommodation and food services",120831
2014-08-01,7,"Transport, communications and information services",58713
2014-08-01,8,Financial intermediation,22404
2014-08-01,9,Real estate and housing services,4975
2014-08-01,10,Business services,83660
2014-08-01,11,Personal services,92649
2014-08-01,12,Public administration,9674
2014-09-01,1,"Agriculture, forestry and fishing",32736
2014-09-01,2,Mining,9940
2014-09-01,3,Manufacturing,64319
2014-09-01,4,"Electricity, gas, water and waste management",5581
2014-09-01,5,Construction,71608
2014-09-01,6,"Wholesale and retail trade, accommodation and food services",120983
2014-09-01,7,"Transport, communications and information services",58737
2014-09-01,8,Financial intermediation,22817
2014-09-01,9,Real estate and housing services,4979
2014-09-01,10,Business services,85527
2014-09-01,11,Personal services,92732
2014-09-01,12,Public administration,9981
2014-10-01,1,"Agriculture, forestry and fishing",35465
2014-10-01,2,Mining,10547
2014-10-01,3,Manufacturing,65068
2014-10-01,4,"Electricity, gas, water and waste management",5645
2014-10-01,5,Construction,72757
2014-10-01,6,"Wholesale and retail trade, accommodation and food services",121187
2014-10-01,7,"Transport, communications and information services",59058
2014-10-01,8,Financial intermediation,23211
2014-10-01,9,Real estate and housing services,5000
2014-10-01,10,Business services,85989
2014-10-01,11,Personal services,93152
2014-10-01,12,Public administration,10074
2014-11-01,1,"Agriculture, forestry and fishing",38243
2014-11-01,2,Mining,10264
2014-11-01,3,Manufacturing,65332
2014-11-01,4,"Electricity, gas, water and waste management",5691
2014-11-01,5,Construction,73566
2014-11-01,6,"Wholesale and retail trade, accommodation and food services",122587
2014-11-01,7,"Transport, communications and information services",59298
2014-11-01,8,Financial intermediation,23140
2014-11-01,9,Real estate and housing services,5049
2014-11-01,10,Business services,86531
2014-11-01,11,Personal services,93661
2014-11-01,12,Public administration,10170
2014-12-01,1,"Agriculture, forestry and fishing",40686
2014-12-01,2,Mining,9656
2014-12-01,3,Manufacturing,65252
2014-12-01,4,"Electricity, gas, water and waste management",5681
2014-12-01,5,Construction,72601
2014-12-01,6,"Wholesale and retail trade, accommodation and food services",124228
2014-12-01,7,"Transport, communications and information services",59614
2014-12-01,8,Financial intermediation,21790
2014-12-01,9,Real estate and housing services,5045
2014-12-01,10,Business services,87310
2014-12-01,11,Personal services,93554
2014-12-01,12,Public administration,10448
2015-01-01,1,"Agriculture, forestry and fishing",39555
2015-01-01,2,Mining,9577
2015-01-01,3,Manufacturing,64819
2015-01-01,4,"Electricity, gas, water and waste management",5746
2015-01-01,5,Construction,70835
2015-01-01,6,"Wholesale and retail trade, accommodation and food services",123044
2015-01-01,7,"Transport, communications and information services",59807
2015-01-01,8,Financial intermediation,23105
2015-01-01,9,Real estate and housing services,5186
2015-01-01,10,Business services,86923
2015-01-01,11,Personal services,91479
2015-01-01,12,Public administration,10207
2015-02-01,1,"Agriculture, forestry and fishing",39007
2015-02-01,2,Mining,10060
2015-02-01,3,Manufacturing,65317
2015-02-01,4,"Electricity, gas, water and waste management",5820
2015-02-01,5,Construction,72056
2015-02-01,6,"Wholesale and retail trade, accommodation and food services",123358
2015-02-01,7,"Transport, communications and information services",60092
2015-02-01,8,Financial intermediation,23094
2015-02-01,9,Real estate and housing services,5203
2015-02-01,10,Business services,87673
2015-02-01,11,Personal services,91137
2015-02-01,12,Public administration,10280
2015-03-01,1,"Agriculture, forestry and fishing",38451
2015-03-01,2,Mining,10081
2015-03-01,3,Manufacturing,66077
2015-03-01,4,"Electricity, gas, water and waste management",5779
2015-03-01,5,Construction,73371
2015-03-01,6,"Wholesale and retail trade, accommodation and food services",123974
2015-03-01,7,"Transport, communications and information services",60211
2015-03-01,8,Financial intermediation,23331
2015-03-01,9,Real estate and housing services,5195
2015-03-01,10,Business services,87843
2015-03-01,11,Personal services,93526
2015-03-01,12,Public administration,10366
2015-04-01,1,"Agriculture, forestry and fishing",36764
2015-04-01,2,Mining,10001
2015-04-01,3,Manufacturing,66308
2015-04-01,4,"Electricity, gas, water and waste management",5968
2015-04-01,5,Construction,73528
2015-04-01,6,"Wholesale and retail trade, accommodation and food services",124735
2015-04-01,7,"Transport, communications and information services",60352
2015-04-01,8,Financial intermediation,23172
2015-04-01,9,Real estate and housing services,5275
2015-04-01,10,Business services,88184
2015-04-01,11,Personal services,94924
2015-04-01,12,Public administration,10776
2015-05-01,1,"Agriculture, forestry and fishing",33809
2015-05-01,2,Mining,10244
2015-05-01,3,Manufacturing,66091
2015-05-01,4,"Electricity, gas, water and waste management",5941
2015-05-01,5,Construction,73776
2015-05-01,6,"Wholesale and retail trade, accommodation and food services",125407
2015-05-01,7,"Transport, communications and information services",60161
2015-05-01,8,Financial intermediation,23583
2015-05-01,9,Real estate and housing services,5304
2015-05-01,10,Business services,88192
2015-05-01,11,Personal services,95996
2015-05-01,12,Public administration,11015
2015-06-01,1,"Agriculture, forestry and fishing",34371
2015-06-01,2,Mining,10458
2015-06-01,3,Manufacturing,65896
2015-06-01,4,"Electricity, gas, water and waste management",6177
2015-06-01,5,Construction,73513
2015-06-01,6,"Wholesale and retail trade, accommodation and food services",125603
2015-06-01,7,"Transport, communications and information services",60229
2015-06-01,8,Financial intermediation,23792
2015-06-01,9,Real estate and housing services,5228
2015-06-01,10,Business services,88321
2015-06-01,11,Personal services,96295
2015-06-01,12,Public administration,11027
2015-07-01,1,"Agriculture, forestry and fishing",31626
2015-07-01,2,Mining,10143
2015-07-01,3,Manufacturing,64001
2015-07-01,4,"Electricity, gas, water and waste management",6111
2015-07-01,5,Construction,70369
2015-07-01,6,"Wholesale and retail trade, accommodation and food services",117920
2015-07-01,7,"Transport, communications and information services",56238
2015-07-01,8,Financial intermediation,23540
2015-07-01,9,Real estate and housing services,5018
2015-07-01,10,Business services,84930
2015-07-01,11,Personal services,91848
2015-07-01,12,Public administration,9586
2015-08-01,1,"Agriculture, forestry and fishing",31351
2015-08-01,2,Mining,9712
2015-08-01,3,Manufacturing,64380
2015-08-01,4,"Electricity, gas, water and waste management",6203
2015-08-01,5,Construction,70071
2015-08-01,6,"Wholesale and retail trade, accommodation and food services",120227
2015-08-01,7,"Transport, communications and information services",55896
2015-08-01,8,Financial intermediation,23733
2015-08-01,9,Real estate and housing services,5058
2015-08-01,10,Business services,85257
2015-08-01,11,Personal services,92958
2015-08-01,12,Public administration,9530
2015-09-01,1,"Agriculture, forestry and fishing",30211
2015-09-01,2,Mining,9773
2015-09-01,3,Manufacturing,63488
2015-09-01,4,"Electricity, gas, water and waste management",6139
2015-09-01,5,Construction,70492
2015-09-01,6,"Wholesale and retail trade, accommodation and food services",119186
2015-09-01,7,"Transport, communications and information services",56329
2015-09-01,8,Financial intermediation,23408
2015-09-01,9,Real estate and housing services,5057
2015-09-01,10,Business services,85701
2015-09-01,11,Personal services,93799
2015-09-01,12,Public administration,9725
2015-10-01,1,"Agriculture, forestry and fishing",31297
2015-10-01,2,Mining,9770
2015-10-01,3,Manufacturing,64130
2015-10-01,4,"Electricity, gas, water and waste management",6167
2015-10-01,5,Construction,71534
2015-10-01,6,"Wholesale and retail trade, accommodation and food services",119344
2015-10-01,7,"Transport, communications and information services",56436
2015-10-01,8,Financial intermediation,23895
2015-10-01,9,Real estate and housing services,5052
2015-10-01,10,Business services,85705
2015-10-01,11,Personal services,93891
2015-10-01,12,Public administration,9819
2015-11-01,1,"Agriculture, forestry and fishing",33439
2015-11-01,2,Mining,10213
2015-11-01,3,Manufacturing,64733
2015-11-01,4,"Electricity, gas, water and waste management",6232
2015-11-01,5,Construction,72699
2015-11-01,6,"Wholesale and retail trade, accommodation and food services",120926
2015-11-01,7,"Transport, communications and information services",56855
2015-11-01,8,Financial intermediation,23159
2015-11-01,9,Real estate and housing services,5122
2015-11-01,10,Business services,86311
2015-11-01,11,Personal services,94062
2015-11-01,12,Public administration,9855
2015-12-01,1,"Agriculture, forestry and fishing",36752
2015-12-01,2,Mining,9315
2015-12-01,3,Manufacturing,63971
2015-12-01,4,"Electricity, gas, water and waste management",6234
2015-12-01,5,Construction,72135
2015-12-01,6,"Wholesale and retail trade, accommodation and food services",121579
2015-12-01,7,"Transport, communications and information services",57063
2015-12-01,8,Financial intermediation,23768
2015-12-01,9,Real estate and housing services,5284
2015-12-01,10,Business services,87134
2015-12-01,11,Personal services,94665
2015-12-01,12,Public administration,10142
2016-01-01,1,"Agriculture, forestry and fishing",40804
2016-01-01,2,Mining,9300
2016-01-01,3,Manufacturing,66061
2016-01-01,4,"Electricity, gas, water and waste management",6150
2016-01-01,5,Construction,73034
2016-01-01,6,"Wholesale and retail trade, accommodation and food services",127618
2016-01-01,7,"Transport, communications and information services",61255
2016-01-01,8,Financial intermediation,24295
2016-01-01,9,Real estate and housing services,5259
2016-01-01,10,Business services,89611
2016-01-01,11,Personal services,96669
2016-01-01,12,Public administration,11181
2016-02-01,1,"Agriculture, forestry and fishing",40534
2016-02-01,2,Mining,9826
2016-02-01,3,Manufacturing,66464
2016-02-01,4,"Electricity, gas, water and waste management",6187
2016-02-01,5,Construction,73963
2016-02-01,6,"Wholesale and retail trade, accommodation and food services",127808
2016-02-01,7,"Transport, communications and information services",61696
2016-02-01,8,Financial intermediation,23968
2016-02-01,9,Real estate and housing services,5320
2016-02-01,10,Business services,90440
2016-02-01,11,Personal services,96396
2016-02-01,12,Public administration,11141
2016-03-01,1,"Agriculture, forestry and fishing",40163
2016-03-01,2,Mining,9577
2016-03-01,3,Manufacturing,67455
2016-03-01,4,"Electricity, gas, water and waste management",6230
2016-03-01,5,Construction,75446
2016-03-01,6,"Wholesale and retail trade, accommodation and food services",128059
2016-03-01,7,"Transport, communications and information services",61595
2016-03-01,8,Financial intermediation,24191
2016-03-01,9,Real estate and housing services,5350
2016-03-01,10,Business services,90246
2016-03-01,11,Personal services,98911
2016-03-01,12,Public administration,11220
2016-04-01,1,"Agriculture, forestry and fishing",37897
2016-04-01,2,Mining,9961
2016-04-01,3,Manufacturing,67973
2016-04-01,4,"Electricity, gas, water and waste management",6331
2016-04-01,5,Construction,76170
2016-04-01,6,"Wholesale and retail trade, accommodation and food services",128644
2016-04-01,7,"Transport, communications and information services",61717
2016-04-01,8,Financial intermediation,24094
2016-04-01,9,Real estate and housing services,5380
2016-04-01,10,Business services,90363
2016-04-01,11,Personal services,100272
2016-04-01,12,Public administration,11483
2016-05-01,1,"Agriculture, forestry and fishing",34918
2016-05-01,2,Mining,10018
2016-05-01,3,Manufacturing,67267
2016-05-01,4,"Electricity, gas, water and waste management",6423
2016-05-01,5,Construction,76022
2016-05-01,6,"Wholesale and retail trade, accommodation and food services",128515
2016-05-01,7,"Transport, communications and information services",61640
2016-05-01,8,Financial intermediation,24484
2016-05-01,9,Real estate and housing services,5413
2016-05-01,10,Business services,90314
2016-05-01,11,Personal services,101172
2016-05-01,12,Public administration,11742
2016-06-01,1,"Agriculture, forestry and fishing",35481
2016-06-01,2,Mining,10246
2016-06-01,3,Manufacturing,67087
2016-06-01,4,"Electricity, gas, water and waste management",6451
2016-06-01,5,Construction,75922
2016-06-01,6,"Wholesale and retail trade, accommodation and food services",128626
2016-06-01,7,"Transport, communications and information services",61517
2016-06-01,8,Financial intermediation,24593
2016-06-01,9,Real estate and housing services,5480
2016-06-01,10,Business services,89922
2016-06-01,11,Personal services,101574
2016-06-01,12,Public administration,11883
2016-07-01,1,"Agriculture, forestry and fishing",31757
2016-07-01,2,Mining,10205
2016-07-01,3,Manufacturing,64906
2016-07-01,4,"Electricity, gas, water and waste management",6285
2016-07-01,5,Construction,72369
2016-07-01,6,"Wholesale and retail trade, accommodation and food services",122161
2016-07-01,7,"Transport, communications and information services",57049
2016-07-01,8,Financial intermediation,24414
2016-07-01,9,Real estate and housing services,5211
2016-07-01,10,Business services,86749
2016-07-01,11,Personal services,96421
2016-07-01,12,Public administration,10556
2016-08-01,1,"Agriculture, forestry and fishing",32192
2016-08-01,2,Mining,9409
2016-08-01,3,Manufacturing,65036
2016-08-01,4,"Electricity, gas, water and waste management",6310
2016-08-01,5,Construction,72967
2016-08-01,6,"Wholesale and retail trade, accommodation and food services",123109
2016-08-01,7,"Transport, communications and information services",57370
2016-08-01,8,Financial intermediation,24320
2016-08-01,9,Real estate and housing services,5251
2016-08-01,10,Business services,87091
2016-08-01,11,Personal services,97295
2016-08-01,12,Public administration,10585
2016-09-01,1,"Agriculture, forestry and fishing",30943
2016-09-01,2,Mining,9413
2016-09-01,3,Manufacturing,64271
2016-09-01,4,"Electricity, gas, water and waste management",6284
2016-09-01,5,Construction,72217
2016-09-01,6,"Wholesale and retail trade, accommodation and food services",122977
2016-09-01,7,"Transport, communications and information services",57277
2016-09-01,8,Financial intermediation,24307
2016-09-01,9,Real estate and housing services,5172
2016-09-01,10,Business services,87275
2016-09-01,11,Personal services,98030
2016-09-01,12,Public administration,10778
2016-10-01,1,"Agriculture, forestry and fishing",32791
2016-10-01,2,Mining,9857
2016-10-01,3,Manufacturing,65366
2016-10-01,4,"Electricity, gas, water and waste management",6485
2016-10-01,5,Construction,72616
2016-10-01,6,"Wholesale and retail trade, accommodation and food services",123387
2016-10-01,7,"Transport, communications and information services",57558
2016-10-01,8,Financial intermediation,24350
2016-10-01,9,Real estate and housing services,5223
2016-10-01,10,Business services,88046
2016-10-01,11,Personal services,97698
2016-10-01,12,Public administration,10813
2016-11-01,1,"Agriculture, forestry and fishing",35520
2016-11-01,2,Mining,9906
2016-11-01,3,Manufacturing,65448
2016-11-01,4,"Electricity, gas, water and waste management",6402
2016-11-01,5,Construction,72742
2016-11-01,6,"Wholesale and retail trade, accommodation and food services",124798
2016-11-01,7,"Transport, communications and information services",57899
2016-11-01,8,Financial intermediation,24492
2016-11-01,9,Real estate and housing services,5165
2016-11-01,10,Business services,88955
2016-11-01,11,Personal services,98009
2016-11-01,12,Public administration,10809
2016-12-01,1,"Agriculture, forestry and fishing",37951
2016-12-01,2,Mining,9072
2016-12-01,3,Manufacturing,65088
2016-12-01,4,"Electricity, gas, water and waste management",6339
2016-12-01,5,Construction,71613
2016-12-01,6,"Wholesale and retail trade, accommodation and food services",126791
2016-12-01,7,"Transport, communications and information services",57977
2016-12-01,8,Financial intermediation,23994
2016-12-01,9,Real estate and housing services,5229
2016-12-01,10,Business services,89442
2016-12-01,11,Personal services,98554
2016-12-01,12,Public administration,10947
2017-01-01,1,"Agriculture, forestry and fishing",41173
2017-01-01,2,Mining,8434
2017-01-01,3,Manufacturing,66836
2017-01-01,4,"Electricity, gas, water and waste management",6489
2017-01-01,5,Construction,72050
2017-01-01,6,"Wholesale and retail trade, accommodation and food services",132070
2017-01-01,7,"Transport, communications and information services",62366
2017-01-01,8,Financial intermediation,24876
2017-01-01,9,Real estate and housing services,5396
2017-01-01,10,Business services,91669
2017-01-01,11,Personal services,100590
2017-01-01,12,Public administration,11731
2017-02-01,1,"Agriculture, forestry and fishing",40656
2017-02-01,2,Mining,10350
2017-02-01,3,Manufacturing,67294
2017-02-01,4,"Electricity, gas, water and waste management",6554
2017-02-01,5,Construction,72930
2017-02-01,6,"Wholesale and retail trade, accommodation and food services",132286
2017-02-01,7,"Transport, communications and information services",62716
2017-02-01,8,Financial intermediation,24482
2017-02-01,9,Real estate and housing services,5415
2017-02-01,10,Business services,91674
2017-02-01,11,Personal services,100268
2017-02-01,12,Public administration,11691
2017-03-01,1,"Agriculture, forestry and fishing",39766
2017-03-01,2,Mining,9969
2017-03-01,3,Manufacturing,67912
2017-03-01,4,"Electricity, gas, water and waste management",6567
2017-03-01,5,Construction,74147
2017-03-01,6,"Wholesale and retail trade, accommodation and food services",132850
2017-03-01,7,"Transport, communications and information services",62500
2017-03-01,8,Financial intermediation,24851
2017-03-01,9,Real estate and housing services,5352
2017-03-01,10,Business services,91784
2017-03-01,11,Personal services,102656
2017-03-01,12,Public administration,11749
