Wage_Date,MIP_sector_id,MIP_sector_name,Avg_Taxable_Income
2012-03-01,7,"Transport, communications and information services",586768.84
2012-03-01,8,Financial intermediation,805267.07
2012-03-01,9,Real estate and housing services,566408.13
2012-03-01,10,Business services,545634.41
2012-03-01,11,Personal services,527323.2
2012-03-01,12,Public administration,429527.35
2012-04-01,1,"Agriculture, forestry and fishing",392702.63
2012-04-01,2,Mining,1044962.91
2012-04-01,3,Manufacturing,558752.87
2012-04-01,4,"Electricity, gas, water and waste management",711418.09
2012-04-01,5,Construction,556502.05
2012-04-01,6,"Wholesale and retail trade, accommodation and food services",479718.01
2012-04-01,7,"Transport, communications and information services",583188.33
2012-04-01,8,Financial intermediation,806279.88
2012-04-01,9,Real estate and housing services,575110.34
2012-04-01,10,Business services,553540.6
2012-04-01,11,Personal services,532171.74
2012-04-01,12,Public administration,432392.98
2012-05-01,1,"Agriculture, forestry and fishing",395014.77
2012-05-01,2,Mining,1050449.11
2012-05-01,3,Manufacturing,548549.09
2012-05-01,4,"Electricity, gas, water and waste management",692387.74
2012-05-01,5,Construction,556486.47
2012-05-01,6,"Wholesale and retail trade, accommodation and food services",472205.19
2012-05-01,7,"Transport, communications and information services",581819.48
2012-05-01,8,Financial intermediation,810634.5
2012-05-01,9,Real estate and housing services,568457.93
2012-05-01,10,Business services,553577.99
2012-05-01,11,Personal services,526184.46
2012-05-01,12,Public administration,432155.45
2012-06-01,1,"Agriculture, forestry and fishing",392402.27
2012-06-01,2,Mining,1044440.18
2012-06-01,3,Manufacturing,548470.35
2012-06-01,4,"Electricity, gas, water and waste management",698281.49
2012-06-01,5,Construction,548280.41
2012-06-01,6,"Wholesale and retail trade, accommodation and food services",476019.57
2012-06-01,7,"Transport, communications and information services",583262.66
2012-06-01,8,Financial intermediation,813212.69
2012-06-01,9,Real estate and housing services,576378.56
2012-06-01,10,Business services,555140.99
2012-06-01,11,Personal services,532898.71
2012-06-01,12,Public administration,436990.91
2012-07-01,1,"Agriculture, forestry and fishing",455037.7
2012-07-01,2,Mining,1356590.6
2012-07-01,3,Manufacturing,629953.4
2012-07-01,4,"Electricity, gas, water and waste management",856817.31
2012-07-01,5,Construction,617638.92
2012-07-01,6,"Wholesale and retail trade, accommodation and food services",564490.25
2012-07-01,7,"Transport, communications and information services",689892.98
2012-07-01,8,Financial intermediation,994328.05
2012-07-01,9,Real estate and housing services,681078.66
2012-07-01,10,Business services,662421.37
2012-07-01,11,Personal services,588520.04
2012-07-01,12,Public administration,494130.67
2012-08-01,1,"Agriculture, forestry and fishing",458916.89
2012-08-01,2,Mining,1344373.94
2012-08-01,3,Manufacturing,630627.81
2012-08-01,4,"Electricity, gas, water and waste management",863408.61
2012-08-01,5,Construction,613472.66
2012-08-01,6,"Wholesale and retail trade, accommodation and food services",557283.82
2012-08-01,7,"Transport, communications and information services",691218.76
2012-08-01,8,Financial intermediation,992057.13
2012-08-01,9,Real estate and housing services,675066.24
2012-08-01,10,Business services,662655.83
2012-08-01,11,Personal services,586478.85
2012-08-01,12,Public administration,488620.45
2012-09-01,1,"Agriculture, forestry and fishing",486571.79
2012-09-01,2,Mining,1424433.34
2012-09-01,3,Manufacturing,682349.25
2012-09-01,4,"Electricity, gas, water and waste management",899851.8
2012-09-01,5,Construction,648595.53
2012-09-01,6,"Wholesale and retail trade, accommodation and food services",593060.36
2012-09-01,7,"Transport, communications and information services",722566.43
2012-09-01,8,Financial intermediation,1057747.27
2012-09-01,9,Real estate and housing services,713712.45
2012-09-01,10,Business services,688559.93
2012-09-01,11,Personal services,616741.8
2012-09-01,12,Public administration,513251.02
2012-10-01,1,"Agriculture, forestry and fishing",456382.71
2012-10-01,2,Mining,1366322.14
2012-10-01,3,Manufacturing,634688.51
2012-10-01,4,"Electricity, gas, water and waste management",863475.49
2012-10-01,5,Construction,621075.71
2012-10-01,6,"Wholesale and retail trade, accommodation and food services",573860.95
2012-10-01,7,"Transport, communications and information services",697956.83
2012-10-01,8,Financial intermediation,1016748.92
2012-10-01,9,Real estate and housing services,695477.84
2012-10-01,10,Business services,665771.76
2012-10-01,11,Personal services,591312.54
2012-10-01,12,Public administration,492307.86
2012-11-01,1,"Agriculture, forestry and fishing",445791.6
2012-11-01,2,Mining,1120278.24
2012-11-01,3,Manufacturing,590026.91
2012-11-01,4,"Electricity, gas, water and waste management",747837.92
2012-11-01,5,Construction,593637.82
2012-11-01,6,"Wholesale and retail trade, accommodation and food services",516898.38
2012-11-01,7,"Transport, communications and information services",643829.71
2012-11-01,8,Financial intermediation,857991.47
2012-11-01,9,Real estate and housing services,611443.7
2012-11-01,10,Business services,596730.72
2012-11-01,11,Personal services,562952.21
2012-11-01,12,Public administration,476380.25
2012-12-01,1,"Agriculture, forestry and fishing",465857.52
2012-12-01,2,Mining,1174268.39
2012-12-01,3,Manufacturing,651726.8
2012-12-01,4,"Electricity, gas, water and waste management",812409.89
2012-12-01,5,Construction,632545.29
2012-12-01,6,"Wholesale and retail trade, accommodation and food services",563673.75
2012-12-01,7,"Transport, communications and information services",687302.65
2012-12-01,8,Financial intermediation,947124.68
2012-12-01,9,Real estate and housing services,655829.68
2012-12-01,10,Business services,626794.36
2012-12-01,11,Personal services,609495.53
2012-12-01,12,Public administration,497376.53
2013-01-01,1,"Agriculture, forestry and fishing",470013.45
2013-01-01,2,Mining,1450823.2
2013-01-01,3,Manufacturing,683452.06
2013-01-01,4,"Electricity, gas, water and waste management",909692.67
2013-01-01,5,Construction,635382.65
2013-01-01,6,"Wholesale and retail trade, accommodation and food services",602945.78
2013-01-01,7,"Transport, communications and information services",725927.99
2013-01-01,8,Financial intermediation,1089183.84
2013-01-01,9,Real estate and housing services,717106.81
2013-01-01,10,Business services,687644.38
2013-01-01,11,Personal services,621883.78
2013-01-01,12,Public administration,520913.87
2013-02-01,1,"Agriculture, forestry and fishing",472521.33
2013-02-01,2,Mining,1379375.79
2013-02-01,3,Manufacturing,667304.54
2013-02-01,4,"Electricity, gas, water and waste management",935143.34
2013-02-01,5,Construction,633421.47
2013-02-01,6,"Wholesale and retail trade, accommodation and food services",585968.67
2013-02-01,7,"Transport, communications and information services",714848.92
2013-02-01,8,Financial intermediation,1128876.5
2013-02-01,9,Real estate and housing services,720432.38
2013-02-01,10,Business services,681777.46
2013-02-01,11,Personal services,610514.27
2013-02-01,12,Public administration,516800.8
2013-03-01,1,"Agriculture, forestry and fishing",482355.48
2013-03-01,2,Mining,1425395.99
2013-03-01,3,Manufacturing,663641.18
2013-03-01,4,"Electricity, gas, water and waste management",926716.79
2013-03-01,5,Construction,648655.7
2013-03-01,6,"Wholesale and retail trade, accommodation and food services",580734.55
2013-03-01,7,"Transport, communications and information services",728209.21
2013-03-01,8,Financial intermediation,1093600.63
2013-03-01,9,Real estate and housing services,725747.38
2013-03-01,10,Business services,687748.91
2013-03-01,11,Personal services,625817.19
2013-03-01,12,Public administration,530793.95
2013-04-01,1,"Agriculture, forestry and fishing",484429.76
2013-04-01,2,Mining,1416805.29
2013-04-01,3,Manufacturing,670397.48
2013-04-01,4,"Electricity, gas, water and waste management",907287.2
2013-04-01,5,Construction,661309.01
2013-04-01,6,"Wholesale and retail trade, accommodation and food services",592377.28
2013-04-01,7,"Transport, communications and information services",721576.08
2013-04-01,8,Financial intermediation,1085596.66
2013-04-01,9,Real estate and housing services,723777.84
2013-04-01,10,Business services,689016.42
2013-04-01,11,Personal services,623688.43
2013-04-01,12,Public administration,518964.63
2013-05-01,1,"Agriculture, forestry and fishing",483386.64
2013-05-01,2,Mining,1420667.85
2013-05-01,3,Manufacturing,661759.4
2013-05-01,4,"Electricity, gas, water and waste management",886334.49
2013-05-01,5,Construction,654092.54
2013-05-01,6,"Wholesale and retail trade, accommodation and food services",585567.44
2013-05-01,7,"Transport, communications and information services",717571.74
2013-05-01,8,Financial intermediation,1097653.79
2013-05-01,9,Real estate and housing services,719648.77
2013-05-01,10,Business services,689153.94
2013-05-01,11,Personal services,616000.57
2013-05-01,12,Public administration,513895.72
2013-06-01,1,"Agriculture, forestry and fishing",477319.08
2013-06-01,2,Mining,1405098.33
2013-06-01,3,Manufacturing,662909.06
2013-06-01,4,"Electricity, gas, water and waste management",881821.09
2013-06-01,5,Construction,649548.52
2013-06-01,6,"Wholesale and retail trade, accommodation and food services",587456.93
2013-06-01,7,"Transport, communications and information services",719125.92
2013-06-01,8,Financial intermediation,1067602.98
2013-06-01,9,Real estate and housing services,721502.57
2013-06-01,10,Business services,685217.37
2013-06-01,11,Personal services,625495.48
2013-06-01,12,Public administration,522752.91
2013-07-01,1,"Agriculture, forestry and fishing",489470.49
2013-07-01,2,Mining,1427214.05
2013-07-01,3,Manufacturing,672675.73
2013-07-01,4,"Electricity, gas, water and waste management",912390.3
2013-07-01,5,Construction,675731.38
2013-07-01,6,"Wholesale and retail trade, accommodation and food services",605143.13
2013-07-01,7,"Transport, communications and information services",734850.75
2013-07-01,8,Financial intermediation,1142930.85
2013-07-01,9,Real estate and housing services,741735.24
2013-07-01,10,Business services,702881.78
2013-07-01,11,Personal services,635428.46
2013-07-01,12,Public administration,532514.78
2013-08-01,1,"Agriculture, forestry and fishing",493648.9
2013-08-01,2,Mining,1416934.2
2013-08-01,3,Manufacturing,678847.51
2013-08-01,4,"Electricity, gas, water and waste management",915536.27
2013-08-01,5,Construction,685514.09
2013-08-01,6,"Wholesale and retail trade, accommodation and food services",602709.25
2013-08-01,7,"Transport, communications and information services",747445.63
2013-08-01,8,Financial intermediation,1118346.11
2013-08-01,9,Real estate and housing services,744968.42
2013-08-01,10,Business services,706989.19
2013-08-01,11,Personal services,634203.54
2013-08-01,12,Public administration,526056.86
2013-09-01,1,"Agriculture, forestry and fishing",497068.61
2013-09-01,2,Mining,1208188.34
2013-09-01,3,Manufacturing,674131.87
2013-09-01,4,"Electricity, gas, water and waste management",825794.9
2013-09-01,5,Construction,676859.88
2013-09-01,6,"Wholesale and retail trade, accommodation and food services",581892.95
2013-09-01,7,"Transport, communications and information services",717201.79
2013-09-01,8,Financial intermediation,984860.63
2013-09-01,9,Real estate and housing services,690183.09
2013-09-01,10,Business services,652938.09
2013-09-01,11,Personal services,629811.78
2013-09-01,12,Public administration,519575.69
2013-10-01,1,"Agriculture, forestry and fishing",475801.15
2013-10-01,2,Mining,1185488.68
2013-10-01,3,Manufacturing,632411.35
2013-10-01,4,"Electricity, gas, water and waste management",800503.27
2013-10-01,5,Construction,644535.08
2013-10-01,6,"Wholesale and retail trade, accommodation and food services",564172.15
2013-10-01,7,"Transport, communications and information services",689200.1
2013-10-01,8,Financial intermediation,933295.01
2013-10-01,9,Real estate and housing services,666004.05
2013-10-01,10,Business services,635800.02
2013-10-01,11,Personal services,607783.3
2013-10-01,12,Public administration,510510.15
2013-11-01,1,"Agriculture, forestry and fishing",479641.6
2013-11-01,2,Mining,1203998.81
2013-11-01,3,Manufacturing,635663.02
2013-11-01,4,"Electricity, gas, water and waste management",795011.82
2013-11-01,5,Construction,657695.09
2013-11-01,6,"Wholesale and retail trade, accommodation and food services",557487.63
2013-11-01,7,"Transport, communications and information services",692422.52
2013-11-01,8,Financial intermediation,940445.57
2013-11-01,9,Real estate and housing services,671340.2
2013-11-01,10,Business services,642737.17
2013-11-01,11,Personal services,608712.98
2013-11-01,12,Public administration,508642.93
2013-12-01,1,"Agriculture, forestry and fishing",503604.64
2013-12-01,2,Mining,1236313.23
2013-12-01,3,Manufacturing,703021.31
2013-12-01,4,"Electricity, gas, water and waste management",857261.86
2013-12-01,5,Construction,682672.88
2013-12-01,6,"Wholesale and retail trade, accommodation and food services",603097.96
2013-12-01,7,"Transport, communications and information services",732908.56
2013-12-01,8,Financial intermediation,1055908.12
2013-12-01,9,Real estate and housing services,717243.13
2013-12-01,10,Business services,662275.06
2013-12-01,11,Personal services,658033.97
2013-12-01,12,Public administration,540052.99
2014-01-01,1,"Agriculture, forestry and fishing",483412.66
2014-01-01,2,Mining,1210086.62
2014-01-01,3,Manufacturing,671097.81
2014-01-01,4,"Electricity, gas, water and waste management",840964.47
2014-01-01,5,Construction,660211.31
2014-01-01,6,"Wholesale and retail trade, accommodation and food services",585942.07
2014-01-01,7,"Transport, communications and information services",710957.62
2014-01-01,8,Financial intermediation,975007.46
2014-01-01,9,Real estate and housing services,688645.71
2014-01-01,10,Business services,650948.64
2014-01-01,11,Personal services,634595.14
2014-01-01,12,Public administration,534254.07
2014-02-01,1,"Agriculture, forestry and fishing",490053.8
2014-02-01,2,Mining,1204205.07
2014-02-01,3,Manufacturing,668297.2
2014-02-01,4,"Electricity, gas, water and waste management",831815.05
2014-02-01,5,Construction,651634.22
2014-02-01,6,"Wholesale and retail trade, accommodation and food services",577140.14
2014-02-01,7,"Transport, communications and information services",713237.86
2014-02-01,8,Financial intermediation,995273.92
2014-02-01,9,Real estate and housing services,678289.56
2014-02-01,10,Business services,642832.4
2014-02-01,11,Personal services,625149.85
2014-02-01,12,Public administration,530635.94
2014-03-01,1,"Agriculture, forestry and fishing",501707.95
2014-03-01,2,Mining,1230521.71
2014-03-01,3,Manufacturing,654623.42
2014-03-01,4,"Electricity, gas, water and waste management",808125.92
2014-03-01,5,Construction,659212.56
2014-03-01,6,"Wholesale and retail trade, accommodation and food services",568660.52
2014-03-01,7,"Transport, communications and information services",714940.74
2014-03-01,8,Financial intermediation,969735.36
2014-03-01,9,Real estate and housing services,680342.12
2014-03-01,10,Business services,648135.01
2014-03-01,11,Personal services,639899.18
2014-03-01,12,Public administration,532733.16
2014-04-01,1,"Agriculture, forestry and fishing",499003.82
2014-04-01,2,Mining,1238450.69
2014-04-01,3,Manufacturing,657274.92
2014-04-01,4,"Electricity, gas, water and waste management",810666.71
2014-04-01,5,Construction,668779.41
2014-04-01,6,"Wholesale and retail trade, accommodation and food services",579904.79
2014-04-01,7,"Transport, communications and information services",713576.09
2014-04-01,8,Financial intermediation,977224.38
2014-04-01,9,Real estate and housing services,689158.49
2014-04-01,10,Business services,654359.38
2014-04-01,11,Personal services,634179.83
2014-04-01,12,Public administration,532408.1
2014-05-01,1,"Agriculture, forestry and fishing",498869.61
2014-05-01,2,Mining,1243009.88
2014-05-01,3,Manufacturing,659241.27
2014-05-01,4,"Electricity, gas, water and waste management",817024.02
2014-05-01,5,Construction,665229.44
2014-05-01,6,"Wholesale and retail trade, accommodation and food services",573792.19
2014-05-01,7,"Transport, communications and information services",711339.27
2014-05-01,8,Financial intermediation,964331.45
2014-05-01,9,Real estate and housing services,689384.23
2014-05-01,10,Business services,653481.09
2014-05-01,11,Personal services,633804.14
2014-05-01,12,Public administration,528801.24
2014-06-01,1,"Agriculture, forestry and fishing",495123.64
2014-06-01,2,Mining,1230949.02
2014-06-01,3,Manufacturing,654843.12
2014-06-01,4,"Electricity, gas, water and waste management",818798.25
2014-06-01,5,Construction,652653.14
2014-06-01,6,"Wholesale and retail trade, accommodation and food services",578643.89
2014-06-01,7,"Transport, communications and information services",708319.1
2014-06-01,8,Financial intermediation,973521.2
2014-06-01,9,Real estate and housing services,691433.08
2014-06-01,10,Business services,652015.47
2014-06-01,11,Personal services,642446.23
2014-06-01,12,Public administration,536242.7
2014-07-01,1,"Agriculture, forestry and fishing",470290.87
2014-07-01,2,Mining,1244539.68
2014-07-01,3,Manufacturing,656459.67
2014-07-01,4,"Electricity, gas, water and waste management",809651.63
2014-07-01,5,Construction,655302.75
2014-07-01,6,"Wholesale and retail trade, accommodation and food services",568560.06
2014-07-01,7,"Transport, communications and information services",690200.73
2014-07-01,8,Financial intermediation,977569.87
2014-07-01,9,Real estate and housing services,690410.69
2014-07-01,10,Business services,653794.01
2014-07-01,11,Personal services,627915.03
2014-07-01,12,Public administration,509702.05
2014-08-01,1,"Agriculture, forestry and fishing",474730.32
2014-08-01,2,Mining,1225706.95
2014-08-01,3,Manufacturing,656685.89
2014-08-01,4,"Electricity, gas, water and waste management",810158.48
2014-08-01,5,Construction,655414.74
2014-08-01,6,"Wholesale and retail trade, accommodation and food services",568997.6
2014-08-01,7,"Transport, communications and information services",692842.3
2014-08-01,8,Financial intermediation,995198.0
2014-08-01,9,Real estate and housing services,693862.54
2014-08-01,10,Business services,650936.84
2014-08-01,11,Personal services,629413.94
2014-08-01,12,Public administration,507373.26
2014-09-01,1,"Agriculture, forestry and fishing",494543.96
2014-09-01,2,Mining,1301717.18
2014-09-01,3,Manufacturing,708883.41
2014-09-01,4,"Electricity, gas, water and waste management",871630.4
2014-09-01,5,Construction,690416.8
2014-09-01,6,"Wholesale and retail trade, accommodation and food services",594544.07
2014-09-01,7,"Transport, communications and information services",720922.98
2014-09-01,8,Financial intermediation,1037380.64
2014-09-01,9,Real estate and housing services,728190.77
2014-09-01,10,Business services,678356.37
2014-09-01,11,Personal services,656794.36
2014-09-01,12,Public administration,513788.52
2014-10-01,1,"Agriculture, forestry and fishing",477766.56
2014-10-01,2,Mining,1242680.86
2014-10-01,3,Manufacturing,663083.01
2014-10-01,4,"Electricity, gas, water and waste management",817524.29
2014-10-01,5,Construction,656828.89
2014-10-01,6,"Wholesale and retail trade, accommodation and food services",572894.43
2014-10-01,7,"Transport, communications and information services",698515.57
2014-10-01,8,Financial intermediation,983516.37
2014-10-01,9,Real estate and housing services,695449.55
2014-10-01,10,Business services,651165.11
2014-10-01,11,Personal services,632951.04
2014-10-01,12,Public administration,500993.21
2014-11-01,1,"Agriculture, forestry and fishing",482745.34
2014-11-01,2,Mining,1282361.28
2014-11-01,3,Manufacturing,670533.37
2014-11-01,4,"Electricity, gas, water and waste management",832362.47
2014-11-01,5,Construction,672354.56
2014-11-01,6,"Wholesale and retail trade, accommodation and food services",580480.0
2014-11-01,7,"Transport, communications and information services",703119.19
2014-11-01,8,Financial intermediation,994864.71
2014-11-01,9,Real estate and housing services,703733.26
2014-11-01,10,Business services,662198.63
2014-11-01,11,Personal services,635094.04
2014-11-01,12,Public administration,497031.21
2014-12-01,1,"Agriculture, forestry and fishing",510884.77
2014-12-01,2,Mining,1326883.79
2014-12-01,3,Manufacturing,738057.92
2014-12-01,4,"Electricity, gas, water and waste management",888192.2
2014-12-01,5,Construction,690883.41
2014-12-01,6,"Wholesale and retail trade, accommodation and food services",617420.62
2014-12-01,7,"Transport, communications and information services",744254.67
2014-12-01,8,Financial intermediation,1099832.93
2014-12-01,9,Real estate and housing services,757384.7
2014-12-01,10,Business services,692307.45
2014-12-01,11,Personal services,692770.6
2014-12-01,12,Public administration,534716.53
2015-01-01,1,"Agriculture, forestry and fishing",487116.38
2015-01-01,2,Mining,1285233.71
2015-01-01,3,Manufacturing,704263.3
2015-01-01,4,"Electricity, gas, water and waste management",858062.96
2015-01-01,5,Construction,667088.46
2015-01-01,6,"Wholesale and retail trade, accommodation and food services",596617.62
2015-01-01,7,"Transport, communications and information services",718089.86
2015-01-01,8,Financial intermediation,1026668.86
2015-01-01,9,Real estate and housing services,714305.95
2015-01-01,10,Business services,671672.55
2015-01-01,11,Personal services,665392.27
2015-01-01,12,Public administration,527540.7
2015-02-01,1,"Agriculture, forestry and fishing",492497.81
2015-02-01,2,Mining,1265257.72
2015-02-01,3,Manufacturing,700381.43
2015-02-01,4,"Electricity, gas, water and waste management",843658.76
2015-02-01,5,Construction,663798.63
2015-02-01,6,"Wholesale and retail trade, accommodation and food services",587548.8
2015-02-01,7,"Transport, communications and information services",716430.0
2015-02-01,8,Financial intermediation,1031738.02
2015-02-01,9,Real estate and housing services,708321.79
2015-02-01,10,Business services,664255.31
2015-02-01,11,Personal services,653375.08
2015-02-01,12,Public administration,520483.46
2015-03-01,1,"Agriculture, forestry and fishing",505607.97
2015-03-01,2,Mining,1298570.6
2015-03-01,3,Manufacturing,688975.97
2015-03-01,4,"Electricity, gas, water and waste management",835074.89
2015-03-01,5,Construction,670278.23
2015-03-01,6,"Wholesale and retail trade, accommodation and food services",589918.64
2015-03-01,7,"Transport, communications and information services",718807.91
2015-03-01,8,Financial intermediation,1016351.36
2015-03-01,9,Real estate and housing services,707579.87
2015-03-01,10,Business services,669575.5
2015-03-01,11,Personal services,670244.33
2015-03-01,12,Public administration,531362.41
2015-04-01,1,"Agriculture, forestry and fishing",500546.75
2015-04-01,2,Mining,1292484.18
2015-04-01,3,Manufacturing,692480.82
2015-04-01,4,"Electricity, gas, water and waste management",843078.31
2015-04-01,5,Construction,676998.33
2015-04-01,6,"Wholesale and retail trade, accommodation and food services",595537.44
2015-04-01,7,"Transport, communications and information services",718193.39
2015-04-01,8,Financial intermediation,1035879.63
2015-04-01,9,Real estate and housing services,708675.23
2015-04-01,10,Business services,679118.36
2015-04-01,11,Personal services,666057.27
2015-04-01,12,Public administration,527207.43
2015-05-01,1,"Agriculture, forestry and fishing",499685.63
2015-05-01,2,Mining,1313380.48
2015-05-01,3,Manufacturing,681946.85
2015-05-01,4,"Electricity, gas, water and waste management",826967.65
2015-05-01,5,Construction,673619.55
2015-05-01,6,"Wholesale and retail trade, accommodation and food services",588671.47
2015-05-01,7,"Transport, communications and information services",713958.61
2015-05-01,8,Financial intermediation,1010707.56
2015-05-01,9,Real estate and housing services,707683.43
2015-05-01,10,Business services,674792.18
2015-05-01,11,Personal services,662025.07
2015-05-01,12,Public administration,523348.52
2015-06-01,1,"Agriculture, forestry and fishing",495573.41
2015-06-01,2,Mining,1296512.33
2015-06-01,3,Manufacturing,683098.09
2015-06-01,4,"Electricity, gas, water and waste management",836703.49
2015-06-01,5,Construction,664581.81
2015-06-01,6,"Wholesale and retail trade, accommodation and food services",589071.19
2015-06-01,7,"Transport, communications and information services",715714.09
2015-06-01,8,Financial intermediation,1010930.47
2015-06-01,9,Real estate and housing services,721686.46
2015-06-01,10,Business services,673578.57
2015-06-01,11,Personal services,673942.03
2015-06-01,12,Public administration,537242.6
2015-07-01,1,"Agriculture, forestry and fishing",540097.92
2015-07-01,2,Mining,1333363.31
2015-07-01,3,Manufacturing,714556.62
2015-07-01,4,"Electricity, gas, water and waste management",861892.29
2015-07-01,5,Construction,698581.46
2015-07-01,6,"Wholesale and retail trade, accommodation and food services",635558.0
2015-07-01,7,"Transport, communications and information services",772065.11
2015-07-01,8,Financial intermediation,1042687.77
2015-07-01,9,Real estate and housing services,741767.75
2015-07-01,10,Business services,707629.25
2015-07-01,11,Personal services,696206.13
2015-07-01,12,Public administration,581922.83
2015-08-01,1,"Agriculture, forestry and fishing",543610.17
2015-08-01,2,Mining,1314090.34
2015-08-01,3,Manufacturing,713860.32
2015-08-01,4,"Electricity, gas, water and waste management",863672.27
2015-08-01,5,Construction,686817.07
2015-08-01,6,"Wholesale and retail trade, accommodation and food services",632627.88
2015-08-01,7,"Transport, communications and information services",771772.04
2015-08-01,8,Financial intermediation,1040384.63
2015-08-01,9,Real estate and housing services,740393.72
2015-08-01,10,Business services,702879.66
2015-08-01,11,Personal services,694082.45
2015-08-01,12,Public administration,575365.67
2015-09-01,1,"Agriculture, forestry and fishing",573189.11
2015-09-01,2,Mining,1401541.0
2015-09-01,3,Manufacturing,764364.17
2015-09-01,4,"Electricity, gas, water and waste management",899639.12
2015-09-01,5,Construction,717217.26
2015-09-01,6,"Wholesale and retail trade, accommodation and food services",657867.77
2015-09-01,7,"Transport, communications and information services",803928.99
2015-09-01,8,Financial intermediation,1105161.34
2015-09-01,9,Real estate and housing services,779444.96
2015-09-01,10,Business services,732534.02
2015-09-01,11,Personal services,724210.46
2015-09-01,12,Public administration,594019.28
2015-10-01,1,"Agriculture, forestry and fishing",549037.56
2015-10-01,2,Mining,1343646.09
2015-10-01,3,Manufacturing,716015.65
2015-10-01,4,"Electricity, gas, water and waste management",876464.84
2015-10-01,5,Construction,692814.83
2015-10-01,6,"Wholesale and retail trade, accommodation and food services",631657.27
2015-10-01,7,"Transport, communications and information services",777001.81
2015-10-01,8,Financial intermediation,1050802.28
2015-10-01,9,Real estate and housing services,747947.44
2015-10-01,10,Business services,709131.08
2015-10-01,11,Personal services,698822.17
2015-10-01,12,Public administration,577663.51
2015-11-01,1,"Agriculture, forestry and fishing",552158.67
2015-11-01,2,Mining,1391960.0
2015-11-01,3,Manufacturing,719850.45
2015-11-01,4,"Electricity, gas, water and waste management",867329.41
2015-11-01,5,Construction,696125.63
2015-11-01,6,"Wholesale and retail trade, accommodation and food services",635740.8
2015-11-01,7,"Transport, communications and information services",779282.2
2015-11-01,8,Financial intermediation,1047284.75
2015-11-01,9,Real estate and housing services,751893.89
2015-11-01,10,Business services,712443.05
2015-11-01,11,Personal services,698948.38
2015-11-01,12,Public administration,575759.3
2015-12-01,1,"Agriculture, forestry and fishing",584850.42
2015-12-01,2,Mining,1446165.24
2015-12-01,3,Manufacturing,799333.91
2015-12-01,4,"Electricity, gas, water and waste management",957751.3
2015-12-01,5,Construction,724196.93
2015-12-01,6,"Wholesale and retail trade, accommodation and food services",676258.43
2015-12-01,7,"Transport, communications and information services",834948.62
2015-12-01,8,Financial intermediation,1181554.63
2015-12-01,9,Real estate and housing services,797256.32
2015-12-01,10,Business services,750938.06
2015-12-01,11,Personal services,766119.91
2015-12-01,12,Public administration,634761.55
2016-01-01,1,"Agriculture, forestry and fishing",527323.84
2016-01-01,2,Mining,1392914.95
2016-01-01,3,Manufacturing,749373.48
2016-01-01,4,"Electricity, gas, water and waste management",911363.4
2016-01-01,5,Construction,684849.42
2016-01-01,6,"Wholesale and retail trade, accommodation and food services",641407.27
2016-01-01,7,"Transport, communications and information services",769477.97
2016-01-01,8,Financial intermediation,1129893.22
2016-01-01,9,Real estate and housing services,761715.53
2016-01-01,10,Business services,716365.2
2016-01-01,11,Personal services,710358.01
2016-01-01,12,Public administration,564790.56
2016-02-01,1,"Agriculture, forestry and fishing",528590.3
2016-02-01,2,Mining,1356483.44
2016-02-01,3,Manufacturing,742608.47
2016-02-01,4,"Electricity, gas, water and waste management",898486.88
2016-02-01,5,Construction,687849.63
2016-02-01,6,"Wholesale and retail trade, accommodation and food services",634590.93
2016-02-01,7,"Transport, communications and information services",769251.9
2016-02-01,8,Financial intermediation,1116927.3
2016-02-01,9,Real estate and housing services,747813.08
2016-02-01,10,Business services,706673.54
2016-02-01,11,Personal services,697885.69
2016-02-01,12,Public administration,559934.94
2016-03-01,1,"Agriculture, forestry and fishing",547836.58
2016-03-01,2,Mining,1410015.8
2016-03-01,3,Manufacturing,740275.34
2016-03-01,4,"Electricity, gas, water and waste management",901065.9
2016-03-01,5,Construction,690508.94
2016-03-01,6,"Wholesale and retail trade, accommodation and food services",642146.43
2016-03-01,7,"Transport, communications and information services",770734.53
2016-03-01,8,Financial intermediation,1106695.22
2016-03-01,9,Real estate and housing services,741966.1
2016-03-01,10,Business services,715836.77
2016-03-01,11,Personal services,711503.82
2016-03-01,12,Public administration,570757.79
2016-04-01,1,"Agriculture, forestry and fishing",536041.58
2016-04-01,2,Mining,1410898.49
2016-04-01,3,Manufacturing,733948.95
2016-04-01,4,"Electricity, gas, water and waste management",899805.55
2016-04-01,5,Construction,686754.94
2016-04-01,6,"Wholesale and retail trade, accommodation and food services",640645.82
2016-04-01,7,"Transport, communications and information services",768441.11
2016-04-01,8,Financial intermediation,1119000.76
2016-04-01,9,Real estate and housing services,747677.09
2016-04-01,10,Business services,717595.45
2016-04-01,11,Personal services,710442.06
2016-04-01,12,Public administration,566829.76
2016-05-01,1,"Agriculture, forestry and fishing",536352.05
2016-05-01,2,Mining,1400842.56
2016-05-01,3,Manufacturing,727102.12
2016-05-01,4,"Electricity, gas, water and waste management",888108.76
2016-05-01,5,Construction,685312.93
2016-05-01,6,"Wholesale and retail trade, accommodation and food services",634088.44
2016-05-01,7,"Transport, communications and information services",761243.39
2016-05-01,8,Financial intermediation,1096674.87
2016-05-01,9,Real estate and housing services,745770.64
2016-05-01,10,Business services,713661.65
2016-05-01,11,Personal services,704950.69
2016-05-01,12,Public administration,565126.43
